#    lambda_um    Flux_Jy   Sigma_Jy    AOT ident.
      2.82728      1589.57      10.3931      2.00000
      2.82873      1604.31      7.22689      2.00000
      2.83016      1603.59      6.16790      2.00000
      2.83147      1599.95      7.98050      2.00000
      2.83289      1580.64      8.62375      2.00000
      2.83459      1567.23      8.13769      2.00000
      2.83590      1560.39      6.68633      2.00000
      2.83734      1568.56      8.52876      2.00000
      2.83856      1581.03      9.67508      2.00000
      2.83982      1604.45      9.69166      2.00000
      2.84150      1637.32      9.79091      2.00000
      2.84292      1657.67      10.8634      2.00000
      2.84442      1663.27      6.25625      2.00000
      2.84565      1662.72      6.65050      2.00000
      2.84709      1648.61      10.7761      2.00000
      2.84835      1628.28      12.2098      2.00000
      2.85047      1566.69      20.6517      2.00000
      2.85152      1535.27      18.0729      2.00000
      2.85277      1511.66      14.5064      2.00000
      2.85399      1499.20      7.94910      2.00000
      2.85587      1540.05      22.6664      2.00000
      2.85717      1573.42      26.5267      2.00000
      2.85860      1618.11      20.5857      2.00000
      2.86049      1654.73      8.96904      2.00000
      2.86139      1655.62      7.70409      2.00000
      2.86281      1647.85      8.73017      2.00000
      2.86446      1623.17      11.2256      2.00000
      2.86571      1592.06      11.9564      2.00000
      2.86694      1555.12      15.5257      2.00000
      2.86881      1514.60      16.8157      2.00000
      2.87011      1501.73      12.9555      2.00000
      2.87154      1509.78      12.2438      2.00000
      2.87281      1527.43      16.1740      2.00000
      2.87432      1566.67      22.9593      2.00000
      2.87575      1612.99      20.0681      2.00000
      2.87740      1652.97      12.4271      2.00000
      2.87865      1666.60      6.93457      2.00000
      2.87987      1657.89      6.66029      2.00000
      2.88174      1640.86      6.49860      2.00000
      2.88263      1630.95      5.51870      2.00000
      2.88447      1602.83      14.9879      2.00000
      2.88574      1579.79      16.0864      2.00000
      2.88725      1552.41      11.8330      2.00000
      2.88868      1539.45      9.56335      2.00000
      2.89032      1554.69      10.6197      2.00000
      2.89157      1581.69      12.6912      2.00000
      2.89324      1623.72      16.1251      2.00000
      2.89475      1655.55      11.2992      2.00000
      2.89617      1653.76      10.8029      2.00000
      2.89739      1646.24      13.6375      2.00000
      2.89883      1631.84      13.6325      2.00000
      2.90059      1623.16      9.20487      2.00000
      2.90202      1616.49      10.2448      2.00000
      2.90324      1615.48      11.0213      2.00000
      2.90449      1606.31      12.5613      2.00000
      2.90616      1577.37      17.3494      2.00000
      2.90758      1551.56      16.5885      2.00000
      2.90908      1541.00      13.5282      2.00000
      2.91031      1547.53      12.8919      2.00000
      2.91174      1576.96      13.2526      2.00000
      2.91341      1611.39      14.8078      2.00000
      2.91493      1643.42      12.7268      2.00000
      2.91615      1659.20      9.87595      2.00000
      2.91781      1655.74      13.3582      2.00000
      2.91943      1627.69      19.3688      2.00000
      2.92067      1600.96      20.6017      2.00000
      2.92218      1559.56      14.7584      2.00000
      2.92340      1540.35      12.9288      2.00000
      2.92551      1521.13      9.48567      2.00000
      2.92640      1514.84      8.53622      2.00000
      2.92816      1526.03      10.0110      2.00000
      2.92947      1544.79      11.5272      2.00000
      2.93108      1572.65      12.4515      2.00000
      2.93232      1590.49      9.22390      2.00000
      2.93366      1597.40      7.48837      2.00000
      2.93508      1592.47      9.23162      2.00000
      2.93717      1568.57      11.1430      2.00000
      2.93858      1546.62      12.4308      2.00000
      2.93989      1532.36      10.5443      2.00000
      2.94114      1518.88      8.93358      2.00000
      2.94275      1504.98      7.88439      2.00000
      2.94407      1497.26      8.24363      2.00000
      2.94549      1489.17      9.79547      2.00000
      2.94714      1480.68      14.1276      2.00000
      2.94880      1497.18      16.8442      2.00000
      2.95024      1509.44      15.2969      2.00000
      2.95176      1540.96      13.0320      2.00000
      2.95318      1554.33      9.16539      2.00000
      2.95438      1559.29      7.89911      2.00000
      2.95605      1570.12      6.85591      2.00000
      2.95727      1562.83      5.68019      2.00000
      2.95913      1557.55      5.04952      2.00000
      2.96064      1545.96      5.78497      2.00000
      2.96186      1536.02      6.26174      2.00000
      2.96311      1525.96      6.91709      2.00000
      2.96495      1511.29      8.28891      2.00000
      2.96647      1500.49      8.25218      2.00000
      2.96768      1492.31      10.0356      2.00000
      2.96892      1496.13      10.7081      2.00000
      2.97033      1489.99      11.0862      2.00000
      2.97219      1524.96      20.9616      2.00000
      2.97350      1547.22      23.8121      2.00000
      2.97534      1584.39      16.6040      2.00000
      2.97701      1599.86      6.51418      2.00000
      2.97842      1594.50      6.49108      2.00000
      2.97975      1587.74      5.71663      2.00000
      2.98135      1588.93      5.81180      2.00000
      2.98257      1586.29      5.91715      2.00000
